tower_u_wind,tower_v_wind,tower_uv_wind,tower_w_wind,mean_tower_uv_wind,mean_tower_w_wind,rms_tower_uv_wind,rms_tower_w_wind,std_tower_uv_wind,std_tower_w_wind,grad_tower_uv_wind,grad_tower_w_wind
-1.8111,5.6918,5.973,1.68,5.8503,1.5633,5.8341,1.5171,0.44545,0.38638,-0.089582,0.125
-1.6668,5.5935,5.8365,1.77,5.7815,1.6132,5.7686,1.5686,0.39487,0.38598,-0.025692,0
-1.6987,5.6727,5.9216,1.68,5.7265,1.6546,5.7164,1.6186,0.34775,0.35204,-0.011373,-0.095
-1.5961,5.5904,5.8138,1.58,5.6684,1.7295,5.6605,1.6933,0.3056,0.36064,-0.20056,-0.035
-1.6527,5.2673,5.5205,1.61,5.6346,1.8071,5.6288,1.7719,0.26306,0.36346,-0.0034766,-0.08
-1.7399,5.54,5.8068,1.42,5.6619,1.9151,5.6548,1.8681,0.28958,0.43203,0.023418,0.03
-1.7295,5.2919,5.5673,1.67,5.6934,1.9735,5.6862,1.9186,0.29299,0.47376,-0.16237,0.125
-1.791,5.1813,5.4821,1.67,5.7143,2.0427,5.7074,1.991,0.28887,0.46815,-0.23942,0.195
-1.7376,4.7826,5.0885,2.06,5.6847,2.08,5.6773,2.0276,0.2989,0.47515,-0.073607,0.195
-2.1436,4.8853,5.3349,2.06,5.6629,2.1095,5.6559,2.0576,0.28835,0.47663,0.21802,0
-2.2499,5.0456,5.5245,2.06,5.6302,2.1439,5.6234,2.0957,0.2842,0.4633,0.044319,0.01
-2.1682,4.9713,5.4235,2.08,5.5927,2.1531,5.5856,2.1067,0.28809,0.45564,-0.0054221,-0.09
-2.46,4.9345,5.5137,1.88,5.5631,2.1543,5.5557,2.1081,0.29331,0.45457,-0.043663,0.2
-2.288,4.8208,5.3362,2.48,5.5453,2.1625,5.5385,2.1181,0.28112,0.44693,0.080111,0.345
-1.8394,5.3674,5.6739,2.57,5.5347,2.1501,5.5282,2.0986,0.27441,0.47939,0.42355,0.31
-1.4075,6.021,6.1833,3.1,5.5288,2.1526,5.5222,2.1019,0.27593,0.47605,0.17808,0.105
-1.5218,5.8349,6.03,2.78,5.5209,2.1583,5.5146,2.11,0.26983,0.4652,-0.15928,-0.21
-1.472,5.677,5.8647,2.68,5.5273,2.1629,5.5209,2.1157,0.27262,0.46023,-0.37353,-0.15
-1.3339,5.1118,5.283,2.48,5.5425,2.1488,5.5358,2.0948,0.27893,0.49056,-0.14219,-0.15
-1.2417,5.4404,5.5803,2.38,5.5899,2.118,5.583,2.0548,0.28326,0.52647,0.025122,-0.08
-1.6184,5.0817,5.3332,2.32,5.6392,2.0885,5.6305,2.0176,0.32064,0.55293,-0.20024,-0.235
-1.525,4.9503,5.1798,1.91,5.6754,2.0519,5.6652,1.9686,0.34704,0.5932,-0.062511,-0.26
-1.5883,4.9601,5.2082,1.8,5.6937,2.0064,5.6838,1.9014,0.34385,0.65639,0.1901,-0.01
-1.7658,5.2722,5.56,1.89,5.7023,1.9671,5.6925,1.8357,0.34164,0.72421,0.19456,-0.315
-2.2535,5.1236,5.5973,1.17,5.7125,1.8937,5.7032,1.739,0.33332,0.76807,-0.082218,-0.105
-2.0109,5.0069,5.3956,1.68,5.7092,1.8095,5.6999,1.6276,0.33398,0.81008,0.024892,0.21
-1.9629,5.295,5.6471,1.59,5.6984,1.6852,5.6898,1.5133,0.32157,0.7597,0.15157,0.055
-2.1405,5.2815,5.6987,1.79,5.6884,1.5776,5.6802,1.4095,0.31384,0.72616,0.074524,-0.18
-1.9703,5.451,5.7962,1.23,5.7007,1.4685,5.6918,1.3033,0.32531,0.6934,0.19037,-0.285
-2.0145,5.736,6.0795,1.22,5.7407,1.3662,5.732,1.1967,0.32436,0.6754,0.26775,0.025
