uav_u_wind,uav_v_wind,uav_uv_wind,uav_w_wind,mean_uav_uv_wind,mean_uav_w_wind,rms_uav_uv_wind,rms_uav_w_wind,std_uav_uv_wind,std_uav_w_wind,grad_uav_uv_wind,grad_uav_w_wind,m1,m2,m3,m4,m5,m6
9.5125,3.7947,10.241,0.50454,11.606,0.65103,11.563,0.23792,1.0314,0.62096,-0.03987,0.11424,148,152,153.5,149.5,145,144.5
10.062,1.3328,10.15,0.64496,11.678,0.60644,11.643,0.3059,0.92245,0.53656,0.59731,0.18891,148,152,153.25,149.75,145,144.75
11.341,-1.4736,11.436,0.88235,11.684,0.53031,11.651,0.37876,0.90697,0.38034,0.99082,0.030977,148,152,153,150,145,145
11.933,-2.186,12.132,0.70692,11.568,0.53169,11.522,0.38865,1.0585,0.3718,-0.044438,0.030759,148.25,152.25,153,149.75,145,145
11.09,-2.4019,11.347,0.94387,11.387,0.54419,11.329,0.42822,1.1835,0.34411,0.04852,0.076687,148.5,152.5,153,149.5,145,145
11.465,-4.2546,12.229,0.86029,11.155,0.55827,11.075,0.44447,1.3695,0.34614,0.79064,-0.36846,148.75,152.75,153,149.25,145,145
12.036,-4.7195,12.928,0.20694,10.972,0.56909,10.87,0.45595,1.5265,0.34896,0.18379,-0.1815,149,153,153,149,145,145
11.401,-5.3555,12.596,0.49729,10.782,0.55245,10.654,0.43372,1.6969,0.35063,-0.46767,0.11028,149.25,153,153,148.75,145,145.25
10.436,-5.9091,11.993,0.42751,10.631,0.5403,10.485,0.42407,1.802,0.34306,-0.14964,-0.20412,149.5,153,153,148.5,145,145.5
10.309,-6.7033,12.297,0.089052,10.501,0.54898,10.343,0.45933,1.8634,0.30809,-0.036039,-0.38794,149.75,153,153,148.25,145,145.75
9.4285,-7.2948,11.921,-0.34837,10.464,0.59767,10.303,0.49474,1.8746,0.34361,-0.55955,0.10615,150,153,153,148,145,146
9.6761,-5.5962,11.178,0.30135,10.495,0.64642,10.334,0.52958,1.8788,0.37983,-0.93004,0.25979,150.25,152.75,153,148,145.25,146
9.3517,-3.7106,10.061,0.17121,10.54,0.63852,10.378,0.52032,1.8852,0.37925,-1.0229,-0.061602,150.5,152.5,153,148,145.5,146
8.9513,-1.8076,9.132,0.17815,10.469,0.63081,10.309,0.51434,1.8711,0.37422,-0.6774,0.20707,150.75,152.25,153,148,145.75,146
8.6901,0.52872,8.7062,0.58535,10.281,0.61369,10.116,0.46978,1.883,0.40462,-0.74401,0.23496,151,152,153,148,146,146
7.3515,2.0943,7.644,0.64806,10.174,0.62916,10.008,0.47901,1.8737,0.41798,-0.4696,0.033374,151,151.75,153.25,147.75,146.25,145.75
7.0231,3.317,7.767,0.6521,9.971,0.61078,9.8061,0.4624,1.8507,0.4089,-0.18184,-0.23085,151,151.5,153.5,147.5,146.5,145.5
5.0392,5.2544,7.2803,0.18637,9.6479,0.60912,9.4681,0.45336,1.8993,0.41685,-0.0046152,-0.032473,151,151.25,153.75,147.25,146.75,145.25
4.0053,6.6438,7.7578,0.58715,9.2852,0.61462,9.0495,0.39999,2.1302,0.47817,0.44461,0.15896,151,151,154,147,147,145
3.7406,7.2629,8.1695,0.5043,8.9154,0.66147,8.5534,0.32253,2.5768,0.59177,0.82177,0.28651,150.75,151,154,147.5,147.25,145
3.5344,8.7116,9.4013,1.1602,8.5391,0.67104,8.1415,0.29328,2.6389,0.61846,1.3572,0.36594,150.5,151,154,148,147.5,145
3.6329,10.26,10.884,1.2362,8.2147,0.72328,7.8256,0.24868,2.5598,0.69596,0.8407,-0.35489,150.25,151,154,148.5,147.75,145
1.7003,10.952,11.083,0.4504,7.9525,0.72117,7.5787,0.22654,2.4687,0.70158,-0.45251,-0.23966,150,151,154,149,148,145
2.479,9.666,9.9788,0.75685,7.7414,0.75708,7.3676,0.16745,2.4352,0.75656,-1.5052,-0.33966,150,150.75,154,149,148.25,145
2.4797,7.682,8.0723,-0.22891,7.5866,0.77598,7.2087,0.12087,2.4231,0.78544,-0.44543,0.19047,150,150.5,154,149,148.5,145
3.816,8.248,9.088,1.1378,7.4226,0.76632,7.0278,0.084781,2.4474,0.78042,-0.041814,0.37018,150,150.25,154,149,148.75,145
3.3292,7.262,7.9887,0.51146,7.2971,0.78723,6.8749,0.0039284,2.5065,0.80666,-1.628,-0.56036,150,150,154,149,149,145
3.1584,4.9027,5.832,0.017081,7.1468,0.8677,6.6878,-0.1126,2.5821,0.88161,-2.0919,-0.56743,150.25,150.25,154,148.75,148.75,145
2.3717,2.9754,3.8049,-0.6234,7.0115,0.93681,6.5114,-0.19905,2.6649,0.93803,-2.1288,-0.60818,150.5,150.5,154,148.5,148.5,145
0.73161,1.394,1.5743,-1.1993,6.8173,1.0131,6.2345,-0.31569,2.826,0.98642,-0.078168,0.049144,150.75,150.75,154,148.25,148.25,145
0.87232,-3.5428,3.6486,-0.52511,6.582,1.0086,5.8805,-0.3518,3.0298,0.96862,1.8562,-0.042841,151,151,154,148,148,145
0.4872,-5.2642,5.2867,-1.285,6.2802,0.97872,5.5575,-0.42195,2.9971,0.9049,1.1725,0.18068,151,151.25,154,147.75,147.75,145
1.1809,-5.8762,5.9937,-0.16375,5.8419,0.94503,5.1643,-0.46134,2.7985,0.84514,0.16987,0.10774,151,151.5,154,147.5,147.5,145
0.328,-5.6169,5.6264,-1.0695,5.4587,0.93997,4.9054,-0.48517,2.4538,0.82496,-0.099252,-0.31823,151,151.75,154,147.25,147.25,145
-0.28131,-5.7883,5.7952,-0.80022,5.1899,0.93611,4.7294,-0.5521,2.1901,0.77463,-0.35912,0.44852,151,152,154,147,147,145
