uav_u_wind,uav_v_wind,uav_uv_wind,uav_w_wind,mean_uav_uv_wind,mean_uav_w_wind,rms_uav_uv_wind,rms_uav_w_wind,std_uav_uv_wind,std_uav_w_wind,grad_uav_uv_wind,grad_uav_w_wind,m1,m2,m3,m4,m5,m6
-6.3175,3.3274,7.1402,-0.98629,4.4623,0.88411,4.1283,-0.49586,1.7357,0.75004,-0.26682,0.55208,143,148,147,146,140,141
-4.8868,3.6845,6.1202,-0.1982,4.4533,0.88033,4.1032,-0.48158,1.7735,0.75512,-1.095,0.38209,143,148,147,145.75,140.25,141.25
-2.3058,4.3804,4.9502,-0.22212,4.4516,0.82782,4.0929,-0.41603,1.7939,0.73336,-0.36586,0.1889,143,148,147,145.5,140.5,141.5
-1.2645,5.238,5.3885,0.1796,4.4252,0.76699,4.0097,-0.35472,1.9183,0.69683,0.3697,0.34403,143,148,147,145.25,140.75,141.75
0.7599,5.6386,5.6896,0.46594,4.4034,0.71023,3.9505,-0.30702,1.9931,0.65625,0.041488,0.082025,143,148,147,145,141,142
1.5683,5.2419,5.4714,0.34365,4.3783,0.65384,3.8934,-0.25634,2.0522,0.61635,-0.57982,0.036283,143,147.75,147,145,141,141.75
0.82807,4.4536,4.53,0.5385,4.357,0.60723,3.8529,-0.22178,2.0847,0.57924,-0.4799,-0.055823,143,147.5,147,145,141,141.5
1.8673,4.1071,4.5116,0.23201,4.2843,0.54823,3.7261,-0.18237,2.1668,0.52978,-0.051971,-0.03292,143,147.25,147,145,141,141.25
1.2805,4.2367,4.426,0.47266,4.1866,0.5061,3.5639,-0.1422,2.2512,0.49771,-0.50737,-0.088946,143,147,147,145,141,141
1.6407,3.0881,3.4969,0.054114,4.0056,0.47118,3.3234,-0.11787,2.2911,0.46746,-1.1415,-0.088982,143.25,147,147.25,145,141,141
0.33847,2.1162,2.1431,0.2947,3.7381,0.39404,3.0486,-0.081696,2.2166,0.395,-1.083,-0.069022,143.5,147,147.5,145,141,141
0.77008,1.0854,1.3308,-0.08393,3.424,0.33255,2.8007,-0.025895,2.0184,0.33972,-0.74673,-0.1452,143.75,147,147.75,145,141,141
0.64027,0.10976,0.64961,0.0043008,3.1787,0.33032,2.5976,-0.012109,1.8773,0.33825,-0.39865,-0.031754,144,147,148,145,141,141
0.28547,-0.45073,0.53353,-0.14744,3.0474,0.32807,2.4908,0.0048757,1.799,0.33613,0.1786,-0.1912,144.25,147.25,148,145,141,141
0.31356,-0.95673,1.0068,-0.37811,2.9453,0.32873,2.4259,-0.013371,1.7116,0.33657,0.39786,-0.039682,144.5,147.5,148,145,141,141
-0.12342,-1.3235,1.3293,-0.2268,2.8091,0.31351,2.3449,-0.040718,1.585,0.31853,0.42996,-0.054631,144.75,147.75,148,145,141,141
-0.56582,-1.7789,1.8667,-0.48737,2.6977,0.30574,2.281,-0.063319,1.4759,0.3065,-0.091437,-0.11213,145,148,148,145,141,141
-0.34014,-1.0948,1.1464,-0.45107,2.6751,0.28586,2.2671,-0.098828,1.455,0.27485,-0.50923,0.17816,145,148,148.25,144.75,141,140.75
-0.42188,-0.73592,0.84827,-0.13105,2.6308,0.28272,2.2393,-0.11596,1.4149,0.26421,-0.29346,0.0025744,145,148,148.5,144.5,141,140.5
-0.49802,-0.25489,0.55945,-0.44592,2.6655,0.27438,2.2591,-0.15536,1.4496,0.23174,0.016622,-0.20587,145,148,148.75,144.25,141,140.25
-0.63137,0.61517,0.88151,-0.5428,2.8113,0.27916,2.349,-0.16947,1.5827,0.22732,0.688,0.31573,145,148,149,144,141,140
-1.2757,1.4555,1.9354,0.18554,3.1189,0.27217,2.5588,-0.18713,1.8272,0.20251,0.48681,0.31705,145,148,149,144,141.25,140
-0.22392,1.8416,1.8551,0.091293,3.4975,0.28337,2.8466,-0.20081,2.0823,0.20487,0.38615,-0.025485,145,148,149,144,141.5,140
-0.4075,2.6769,2.7077,0.13457,3.8469,0.28505,3.1666,-0.20777,2.2383,0.19998,1.0844,-0.14743,145,148,149,144,141.75,140
0.4718,3.9961,4.0239,-0.20357,4.2143,0.28587,3.5176,-0.20921,2.3782,0.19963,0.64048,-0.12147,145,148,149,144,142,140
0.037028,3.9885,3.9887,-0.10836,4.5432,0.27499,3.8431,-0.19699,2.4828,0.1966,0.052728,0.036308,145,148,148.75,144.25,141.75,140.25
0.62405,4.0819,4.1293,-0.13096,4.7898,0.27131,4.1169,-0.19076,2.5086,0.19768,0.12526,-0.049414,145,148,148.5,144.5,141.5,140.5
0.37184,4.2229,4.2392,-0.20719,5.0453,0.25086,4.3851,-0.16206,2.5567,0.19622,-0.10125,0.0015729,145,148,148.25,144.75,141.25,140.75
0.2584,3.9183,3.9268,-0.12781,5.3466,0.23774,4.7205,-0.15307,2.5725,0.1864,0.30154,-0.073768,145,148,148,145,141,141
-0.91192,4.7556,4.8423,-0.35472,5.6554,0.24104,5.0844,-0.13615,2.5376,0.20382,0.72937,-0.057134,144.75,148.25,148.25,145.25,141,141
-0.54853,5.3576,5.3856,-0.24208,5.922,0.23395,5.4421,-0.097865,2.3932,0.21775,0.85348,0.1392,144.5,148.5,148.5,145.5,141,141
-1.3798,6.4023,6.5493,-0.076329,6.2797,0.23781,5.8579,-0.044544,2.3186,0.23937,0.99444,-0.06452,144.25,148.75,148.75,145.75,141,141
-2.528,6.9276,7.3745,-0.37112,6.8405,0.28354,6.3648,-0.018545,2.5683,0.28992,0.41019,-0.032743,144,149,149,146,141,141
-1.1994,7.2714,7.3696,-0.14181,7.592,0.34374,7.0005,0.019735,3.0104,0.35165,0.26465,0.096731,144,149,149.25,146,141,141
0.56577,7.8835,7.9038,-0.17766,8.4374,0.36842,7.6852,0.042956,3.5686,0.37494,0.23628,0.010088,144,149,149.5,146,141,141
0.54042,7.8235,7.8422,-0.12164,9.2123,0.4243,8.323,0.09959,4.0464,0.42263,-0.41277,0.040856,144,149,149.75,146,141,141
1.4494,6.9282,7.0782,-0.095944,9.9735,0.49227,8.9883,0.15946,4.4288,0.47723,-0.17093,0.11855,144,149,150,146,141,141
2.2195,7.1644,7.5003,0.11547,10.689,0.52694,9.6533,0.20719,4.7027,0.49646,0.55573,-0.083199,144,149,150,146,141,140.75
