uav_u_wind,uav_v_wind,uav_uv_wind,uav_w_wind,mean_uav_uv_wind,mean_uav_w_wind,rms_uav_uv_wind,rms_uav_w_wind,std_uav_uv_wind,std_uav_w_wind,grad_uav_uv_wind,grad_uav_w_wind,m1,m2,m3,m4,m5,m6
1.3898,7.9365,8.0573,0.21444,8.2377,1.3362,7.8429,-0.96118,2.5816,0.95115,-0.35156,-0.028768,148.25,151.75,152.25,150,146.5,146.75
3.3459,8.7606,9.3778,-0.85363,8.1951,1.3845,7.7795,-1.0188,2.6403,0.96063,0.10461,-0.47719,148,152,152,150,146,147
3.9906,7.2395,8.2665,-0.73994,8.1594,1.3899,7.7351,-1.0274,2.6613,0.95913,-1.5045,0.49789,147.75,152.25,151.75,150.25,146,147
1.6154,6.1605,6.3688,0.14215,8.1442,1.3929,7.7177,-1.0314,2.6654,0.95928,-0.49198,-0.2499,147.5,152.5,151.5,150.5,146,147
4.2415,5.9199,7.2826,-1.2397,7.9598,1.3784,7.5157,-0.98584,2.6864,0.98716,-0.12015,-0.87716,147.25,152.75,151.25,150.75,146,147
4.9132,3.6631,6.1285,-1.6122,7.8302,1.3818,7.4122,-0.99435,2.5864,0.98321,-0.59894,-0.83354,147,153,151,151,146,147
2.8616,5.3698,6.0847,-2.9068,7.6492,1.3888,7.2739,-1.0145,2.4249,0.97178,-0.3912,0.093183,146.5,152.75,150.5,150.75,145.25,146.75
4.79,2.3741,5.3461,-1.4258,7.6324,1.3824,7.262,-1.0763,2.4067,0.88892,-0.86858,0.53922,146,152.5,150,150.5,144.5,146.5
3.8598,2.0008,4.3475,-1.8284,7.5074,1.3794,7.1764,-1.0686,2.2588,0.89372,-1.129,-0.97419,145.5,152.25,149.5,150.25,143.75,146.25
2.9563,-0.89229,3.088,-3.3742,7.4877,1.3792,7.1622,-1.0683,2.2374,0.89386,-0.011474,0.27186,145,152,149,150,143,146
4.2318,0.89077,4.3246,-1.2847,7.5382,1.3787,7.1985,-1.0674,2.2927,0.89416,0.87825,0.81459,145,152,149,150,143,146
4.8365,-0.2786,4.8445,-1.745,7.7297,1.3791,7.35,-1.0903,2.4519,0.86545,0.88676,0.16547,145,152,149,150,143,146
6.0705,-0.57951,6.0981,-0.95372,7.821,1.3665,7.4202,-1.0522,2.5325,0.89355,1.0491,0.31993,145,152,149,150,143,146
6.8804,-0.92904,6.9428,-1.1052,7.9889,1.364,7.557,-0.98679,2.6552,0.9649,-0.43375,0.49525,145,152,149,150,143,146
5.162,-0.84403,5.2306,0.036783,8.1949,1.3637,7.7544,-0.99082,2.7159,0.96011,0.9308,0.23077,145.25,152.25,149.25,150,143,146
8.8036,0.12142,8.8044,-0.64362,8.303,1.3399,7.8607,-0.95242,2.74,0.96577,1.7241,-0.36291,145.5,152.5,149.5,150,143,146
8.6163,1.0394,8.6788,-0.68904,8.4824,1.2932,8.0469,-0.88196,2.7493,0.9692,0.92191,0.068525,145.75,152.75,149.75,150,143,146
10.552,1.4286,10.648,-0.50657,8.6745,1.1281,8.248,-0.75439,2.753,0.85945,0.74104,0.11387,146,153,150,150,143,146
9.9636,1.9921,10.161,-0.4613,8.9071,1.0896,8.5028,-0.70987,2.7184,0.84705,-0.20152,-0.078111,145.75,152.75,149.75,150,143,146
9.8762,2.7249,10.245,-0.66279,9.1518,1.0141,8.7991,-0.61942,2.5784,0.82271,0.34139,-0.15771,145.5,152.5,149.5,150,143,146
10.274,3.4678,10.844,-0.77673,9.2965,0.72923,9.0377,-0.41213,2.232,0.61646,0.49672,0.19877,145.25,152.25,149.25,150,143,146
10.625,3.6639,11.239,-0.26526,9.5843,0.70398,9.3805,-0.30602,2.0142,0.64964,0.0036773,0.36169,145,152,149,150,143,146
10.172,3.7792,10.851,-0.053348,9.7661,0.60118,9.6197,-0.24564,1.7263,0.56226,-0.049203,0.44903,145,152,149,150,143,146
10.524,3.6545,11.14,0.63281,9.8781,0.57564,9.7642,-0.22535,1.5329,0.54278,-0.16831,0.055449,145,152,149,150,143,146
9.8596,3.6524,10.514,0.057551,9.934,0.53424,9.8361,-0.19684,1.4256,0.50892,-0.81315,-0.53312,145,152,149,150,143,146
9.1047,2.7601,9.5139,-0.43344,10.038,0.56438,9.9883,-0.23834,1.0232,0.52422,-0.23761,-0.095016,145,152,149,150,143,146
9.6445,2.7872,10.039,-0.13248,10.016,0.56178,9.9629,-0.23598,1.06,0.52241,0.39682,0.10279,145,152,149.25,150.25,143.25,146
9.8977,2.8778,10.308,-0.22786,10.055,0.56503,10.005,-0.1678,1.0233,0.55286,0.32902,-0.1792,145,152,149.5,150.5,143.5,146
10.263,3.0156,10.697,-0.49089,9.9456,0.58305,9.8893,-0.18327,1.0827,0.56717,0.13122,0.1495,145,152,149.75,150.75,143.75,146
10.015,3.3806,10.57,0.071139,9.8729,0.58946,9.8123,-0.19029,1.1193,0.57168,-1.2995,0.73491,145,152,150,151,144,146
7.5469,2.9367,8.0982,0.97892,9.7906,0.60037,9.7256,-0.19891,1.1541,0.58046,0.47721,0.43619,145.25,152.25,150,151,144,146.25
11.429,1.4814,11.524,0.94352,9.6034,0.57603,9.5154,-0.15988,1.3291,0.56706,0.88442,-0.728,145.5,152.5,150,151,144,146.5
